,partition,vertex
1055,10406,27753
1056,634,56702
1057,15955,56709
1058,15957,56714
1059,16093,56725
1060,15970,56730
1061,15960,56731
1062,15962,56738
1063,746,56739
1064,15964,56741
1065,15965,56744
1066,15969,56749
1067,15978,56761
1068,15972,56765
1069,15974,56771
1070,15982,56779
1071,361,56783
1072,15983,56785
1073,9472,56802
1074,646,56806
1075,15992,56820
1076,16000,56830
1077,808,56834
1078,15994,56835
1079,15996,56841
1080,15998,56842
1081,15997,56843
1082,16002,56853
1083,16005,56861
1084,16130,56866
1085,16009,56880
1086,9473,56885
1087,16046,56886
1088,14510,30581
1089,2597,30588
1090,10688,30590
1091,6997,30594
1092,6998,30596
1093,6999,30599
1094,7000,30601
1095,14513,30603
1096,7001,30609
1097,14792,30612
1098,7002,30613
1099,2662,30616
1100,7003,30619
1101,7004,30621
1102,14810,30623
1103,7005,30626
1104,7006,30628
1105,14807,30629
1106,2664,30630
1107,7007,30631
1108,2669,30632
1109,14806,30634
1110,14802,30637
1111,408,30638
1112,14803,30639
1113,14809,30643
1114,2573,30644
1115,10695,30646
1116,10694,30647
1117,7008,30649
1118,7009,30653
1119,14793,30654
1120,15978,56784
1121,15979,56786
1122,15980,56787
1123,15981,56792
1124,15982,56793
1125,15983,56794
1126,15984,56798
1127,8260,56799
1128,15985,56800
1129,5457,56804
1130,15986,56809
1131,2327,56812
1132,6267,56813
1133,15987,56815
1134,15988,56816
1135,8254,56817
1136,5436,56819
1137,4387,56821
1138,6263,56822
1139,15989,56823
1140,15990,56824
1141,6264,56825
1142,15991,56826
1143,646,56827
1144,9472,56828
1145,15992,56829
1146,6386,56832
1147,15993,56833
1148,15994,56837
1149,15995,56839
1150,6276,56840
1151,808,56844
1152,5113,15549
1153,1249,15550
1154,16264,15560
1155,14883,15562
1156,5114,15564
1157,14909,15566
1158,12166,15570
1159,5115,15571
1160,5116,15575
1161,5117,15578
1162,5118,15585
1163,5119,15586
1164,1132,15589
1165,10290,15596
1166,86,15597
1167,1252,15602
1168,11366,15604
1169,5120,15606
1170,1119,15608
1171,10188,15610
1172,9585,15614
1173,10179,15618
1174,13956,15622
1175,16592,15633
1176,13143,15634
1177,10138,15637
1178,16515,15643
1179,5121,15646
1180,16516,15650
1181,1443,15654
1182,1446,15666
1183,1487,15667
1184,16937,59347
1185,16938,59348
1186,16939,59352
1187,16940,59353
1188,16941,59356
1189,7829,59360
1190,16942,59362
1191,16943,59363
1192,16944,59365
1193,16945,59366
1194,9491,59370
1195,16946,59371
1196,16947,59373
1197,211,59374
1198,16948,59376
1199,16949,59379
1200,16950,59381
1201,16951,59382
1202,7183,59383
1203,16952,59384
1204,42,59386
1205,16953,59394
1206,16954,59396
1207,16955,59397
1208,4334,59398
1209,16956,59399
1210,2862,59400
1211,725,59401
1212,16957,59403
1213,16958,59408
1214,446,59409
1215,16959,59411
1216,972,32896
1217,10938,32897
1218,10939,32899
1219,2241,32900
1220,5132,32908
1221,974,32911
1222,7316,32914
1223,973,32927
1224,7304,32929
1225,10940,32933
1226,3283,32934
1227,2173,32936
1228,7320,32941
1229,1882,32942
1230,7321,32946
1231,2186,32954
1232,10941,32956
1233,2165,32959
1234,7325,32964
1235,4656,32967
1236,7323,32969
1237,7326,32972
1238,4646,32975
1239,4644,32976
1240,7327,32978
1241,7322,32979
1242,2198,32982
1243,60,32987
1244,10942,32988
1245,7328,32993
1246,7331,32996
1247,2170,32998
1248,13461,23135
1249,12406,23138
1250,5927,23139
1251,5928,23140
1252,13460,23145
1253,236,23150
1254,5929,23152
1255,5930,23153
1256,4117,23158
1257,237,23159
1258,5931,23165
1259,3262,23169
1260,10002,23170
1261,5932,23171
1262,2823,23172
1263,5933,23173
1264,14430,23178
1265,320,23181
1266,3643,23182
1267,9939,23183
1268,5934,23184
1269,3041,23185
1270,14949,23186
1271,5935,23189
