,betweenness_centrality,vertex
987,0.0,32987
988,0.0,32988
989,0.0,32993
990,0.0,32996
991,0.0,32998
992,0.0,41218
993,0.0,41221
994,0.0,41223
995,0.0,41231
996,0.0,41232
997,0.0,41238
998,0.0,41243
999,0.0,41245
1000,0.0,41248
1001,0.0,41251
1002,0.0,41253
1003,0.0,41257
1004,0.0,41260
1005,0.0,41264
1006,0.0,41277
1007,0.0,41281
1008,0.0,41287
1009,0.0,41288
1010,0.0,41290
1011,0.0,41291
1012,0.0,41298
1013,0.0,41301
1014,0.0,41302
1015,0.0,41309
1016,0.0,41314
1017,0.0,41316
1018,0.0,41324
1019,0.0,41326
1020,0.0,41327
1021,0.0,41328
1022,0.0,41336
1023,0.0,41337
1024,0.0,30581
1025,0.0,30588
1026,0.0,30590
1027,0.0,30594
1028,0.0,30596
1029,0.0,30599
1030,0.0,30601
1031,0.0,30603
1032,0.0,30609
1033,0.0,30612
1034,0.0,30613
1035,0.0,30616
1036,0.0,30619
1037,0.0,30621
1038,0.0,30623
1039,0.0,30626
1040,0.0,30628
1041,0.0,30629
1042,0.0,30630
1043,0.0,30631
1044,0.0,30632
1045,0.0,30634
1046,0.0,30637
1047,0.0,30638
1048,0.0,30639
1049,0.0,30643
1050,0.0,30644
1051,0.0,30646
1052,0.0,30647
1053,0.0,30649
1054,0.0,30653
1055,0.0,30654
1056,0.0,10735
1057,0.0,10740
1058,0.0,10742
1059,0.0,10743
1060,0.0,10755
1061,0.0,10759
1062,0.0,10760
1063,0.0,10769
1064,0.0,10771
1065,0.0,10772
1066,0.0,10773
1067,0.0,10777
1068,0.0,10779
1069,0.0,10781
1070,0.0,10786
1071,0.0,10793
1072,0.0,10796
1073,0.0,10797
1074,0.0,10798
1075,0.0,10799
1076,0.0,10801
1077,0.0,10806
1078,0.0,10808
1079,0.0,10809
1080,0.0,10811
1081,0.0,10813
1082,0.0,10814
1083,0.0,10816
1084,0.0,10817
1085,0.0,10820
1086,0.0,10828
1087,0.0,10829
1088,0.0,42594
1089,0.0,42595
1090,0.0,42596
1091,0.0,42597
1092,0.0,42598
1093,0.0,42599
1094,0.0,42600
1095,0.0,42602
1096,0.0,42603
1097,0.0,42606
1098,0.0,42608
1099,0.0,42612
1100,0.0,42615
1101,0.0,42618
1102,0.0,42620
1103,0.0,42622
1104,0.0,42623
1105,0.0,42627
1106,0.0,42631
1107,0.0,42632
1108,0.0,42634
1109,0.0,42635
1110,0.0,42640
1111,0.0,42641
1112,0.0,42647
1113,0.0,42648
1114,0.0,42649
1115,0.0,42650
1116,0.0,42651
1117,0.0,42652
1118,0.0,42653
1119,0.0,42656
1120,0.0,46262
1121,0.0,46263
1122,0.0,46264
1123,0.0,46266
1124,0.0,46270
1125,0.0,46271
1126,0.0,46272
1127,0.0,46275
1128,0.0,46276
1129,0.0,46277
1130,0.0,46278
1131,0.0,46279
1132,0.0,46280
1133,0.0,46281
1134,0.0,46283
1135,0.0,46287
1136,0.0,46291
1137,0.0,46293
1138,0.0,46294
1139,0.0,46298
1140,0.0,46301
1141,0.0,46303
1142,0.0,46304
1143,0.0,46305
1144,0.0,46306
1145,0.0,46307
1146,0.0,46309
1147,0.0,46310
