,partition,vertex
1762,69,55968
1763,51,55970
1764,89,55971
1765,109,55974
1766,87,55975
1767,41,55976
1768,207,55977
1769,11,55978
1770,8,55980
1771,61,55983
1772,69,55985
1773,135,55986
1774,20,55987
1775,52,55988
1776,124,55989
1777,88,55998
1778,70,56001
1779,29,56003
1780,46,56004
1781,55,56008
1782,25,56010
1783,55,56011
1784,11,56013
1785,29,56014
1786,6,56015
1787,198,56023
1788,111,56024
1789,33,56027
1790,41,56028
1791,55,56029
1792,0,17003
1793,8,17005
1794,136,17020
1795,158,17026
1796,2,17027
1797,64,17031
1798,34,17050
1799,181,17052
1800,37,17057
1801,128,17062
1802,59,17066
1803,70,17069
1804,68,17089
1805,12,17091
1806,21,17103
1807,110,17109
1808,76,17117
1809,35,17132
1810,87,17138
1811,87,17151
1812,96,17166
1813,209,17182
1814,28,17191
1815,76,17215
1816,173,17226
1817,104,17244
1818,116,17250
1819,71,17266
1820,216,17267
1821,100,17268
1822,66,17274
1823,139,17276
1824,94,1236
1825,92,1248
1826,0,1320
1827,71,1335
1828,112,1390
1829,131,1397
1830,13,1398
1831,20,1399
1832,123,1408
1833,6,1417
1834,67,1424
1835,137,1442
1836,9,1479
1837,69,1491
1838,33,1523
1839,20,1547
1840,68,1571
1841,60,1576
1842,104,1625
1843,49,1630
1844,217,1662
1845,65,1667
1846,51,1704
1847,0,1736
1848,51,1775
1849,61,1835
1850,61,1850
1851,98,1866
1852,51,1872
1853,0,1894
1854,23,1908
1855,193,1921
1856,195,56481
1857,91,56483
1858,66,56484
1859,104,56486
1860,130,56487
1861,11,56488
1862,129,56491
1863,216,56495
1864,106,56504
1865,115,56505
1866,204,56509
1867,158,56512
1868,84,56517
1869,101,56523
1870,53,56525
1871,8,56527
1872,41,56529
1873,30,56534
1874,70,56538
